run_id,n,true_effect,term,contrast,estimate,conf.low,conf.high,warnings
1,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.03504583381564381,-0.01625506388000552,0.1183302589248489,NA
1,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9521104410549408,0.794788477451161,0.9878870401372472,NA
10,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.04607095116696647,-0.03159330541277194,0.14427992795152467,NA
10,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.91883017415486,0.7129783644026416,0.9707177918767588,NA
100,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.01723585342323214,-0.04952710178056394,0.09785249337076998,NA
100,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9362030429688246,0.6802558655268741,0.9812771122138548,NA
11,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),6.203654833095106e-4,-0.03981990105466148,0.04427765158980559,NA
11,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9741794552268834,0.8192645856084129,0.9973251052878632,NA
12,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.06671236689732374,0.00200476013623739,0.16019602507017755,NA
12,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9303727592043688,0.7762779424712197,0.9762274670700152,NA
13,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),-0.00173417213826036,-0.05831862516309118,0.03711148866754445,NA
13,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9681733131382392,0.7232652573492802,0.9976492845386448,NA
14,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.03228013972861443,-0.01949488593120385,0.1109037359511514,NA
14,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9532978282675848,0.8107670599470369,0.9885480043235688,NA
15,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),-4.831904365481423e-4,-0.04513445597973429,0.04097352701479991,NA
15,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9706158075399278,0.7705760191349865,0.9977525645322508,NA
16,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),-0.00319988064174944,-0.08359819562654879,0.06196221480089874,NA
16,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9537230396956606,0.8070611924749879,0.9895065721066464,NA
17,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.0714506650516519,-0.01487556206821379,0.1795127798732151,NA
17,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9107202141136592,0.7650366282643226,0.9614280319379452,NA
18,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.02890312885713512,-0.02499804827111922,0.10222191845976636,NA
18,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9455819576070276,0.6833436802101307,0.9882276605943608,NA
19,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.0281154970357914,-0.05131158462019872,0.11277504832863032,NA
19,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9355416525014874,0.8433263509898368,0.9773737983419092,NA
2,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.06213331829816554,-0.02076754819123082,0.1708877298680477,NA
2,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9144847270649388,0.7265814174472145,0.9667445945153766,NA
20,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.1055079445100941,0.02938469076493558,0.21422719530092724,NA
20,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9081548637276298,0.7358413549874553,0.9607573001777524,NA
21,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.01720220045311911,-0.02681010281655449,0.08634372754667717,NA
21,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9568288951040216,0.7449938353107579,0.9936625352741072,NA
22,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.03177588177762222,-0.02202393719919723,0.10747072780580476,NA
22,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9561847467986662,0.8441794707167343,0.9889337842482572,NA
23,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),-6.141791971589501e-5,-0.06703845157062417,0.06776891559441059,NA
23,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.951601462353099,0.7532577664988457,0.9886127555755612,NA
24,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.03263875187606561,-0.01915103924056984,0.11298515073371548,NA
24,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.9431139617734456,0.6924544402261845,0.9873347567716602,NA
25,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.02421284521917105,-0.05250370474687114,0.1260018753731396,NA
25,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.7781940766849346,0.4891846010333133,0.9411868225980428,NA
26,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),0.124452174859317,0.04322400432978153,0.23436962873084133,NA
26,100,0.04500000000000001,pre_intervention,mean(TRUE) - mean(FALSE),0.8987926663703831,0.7225561468460198,0.953501887955958,NA
27,100,0.04500000000000001,intervention,mean(TRUE) - mean(FALSE),-2.618764178015917e-4,-0.07412885710368874,0.07206924934322102,NA
